ItemNumber,DescLine1,DescLine2,PackSize,Brand,UPC,VIN,Symbol,Price,PerUnit,ComparativePrice,ComparativeUnits,VenderID
40119,PARMESAN CHEESE,GRATED,4 / 5.0 LB,MOSAIC,071505004190,"",B,$78.0,UNIT,3.9,PER LB,22221
41078,CHEDDAR CHEESE,MILD CUBED,2 / 5.0 LB,CHESWICK,"","",B,$32.599999999999994,UNIT,3.26,PER LB,2380
42204,PEPPERJACK CHEESE,CUBES,2 / 5.0 LB,CHESWICK,"","",B,$34.7,UNIT,3.47,PER LB,2380
3040119,PARMESAN CHEESE,GRATED,1 / 5.0 LB,BELLA ROSA,3040119,"","",$22.05,UNIT,4.41,PER LB,2380
3041078,CHEDDAR CHEESE,MILD CUBED,1 / 5.0 LB,CHESWICK,"","","",$18.400000000000002,UNIT,3.68,PER LB,2380
3042204,PEPPERJACK CHEESE,CUBES,1 / 5.0 LB,CHESWICK,051934029957,"","",$19.55,UNIT,3.91,PER LB,2380
3042308,CHEDDAR CHEESE,MILD SHREDDED,1 / 5.0 LB,SCHREIBER,30900360959,"","",$13.85,UNIT,2.77,PER LB,22221
40134,MONTEREY JACK ,SHREDDED,4 / 5.0 LB,CHESWICK,02924,"",*,$53.2,UNIT,2.66,PER LB,2380
41294,CHEESE BLEND,CHEDDAR/JACK,4 / 5.0 LB,SCHREIBER,30030900362374,54539,A,$49.400000000000006,UNIT,2.47,PER LB,22221
42304,MONTEREY JACK,SHREDDED,4 / 5.0 LB,SCHREIBER,030900360935,"",B,$52.599999999999994,UNIT,2.63,PER LB,22221
42306,MOZZARELLA,SHREDDED,4 / 5.0 LB,SCHREIBER,40030700399841,"",B,$48.4,UNIT,2.42,PER LB,22221
42308,CHEDDAR CHEESE,MILD SHREDDED,4 / 5.0 LB,SCHREIBER,10030900360956,"",A,$51.6,UNIT,2.58,PER LB,22221
3040134,MONTEREY JACK ,SHREDDED,1 / 5.0 LB,CHESWICK,051934029247,"","",$14.2,UNIT,2.84,PER LB,2380
3041294,CHEESE BLEND,CHEDDAR/JACK,1 / 5.0 LB,CHESWICK,30900362373,"","",$14.299999999999999,UNIT,2.86,PER LB,2380
3042304,MONTEREY JACK,SHREDDED,1 / 5.0 LB,SCHREIBER,030900360935,"","",$13.95,UNIT,2.79,PER LB,22221
3042306,MOZZARELLA,SHREDDED,1 / 5.0 LB,SCHREIBER,071505014175,"","",$13.200000000000001,UNIT,2.64,PER LB,22221
41227,MONTEREY JACK,LOAF,8 / 5.0 LB,CHESWICK,41227,01810,S,$2.86,PER LB,,,2380
41805,MOZZARELLA,LOAF,2 / 6.0 LB,POLLY-O,"","",S,$3.63,PER LB,,,8584
42228,PROVOLONE,LOAF,2 / 6.0 LB,POLLY-O,"","",S,$3.26,PER LB,,,8584
42285,MOZZARELLA,LOAF,8 / 6.0 LB,NORTH BEAC,02402,"",B,$2.53,PER LB,,,2380
3041227,MONTEREY JACK,LOAF,1 / 5.0 LB,CHESWICK,3041227,01810,"",$3.19,PER LB,,,2380
3041805,MOZZARELLA,LOAF,1 / 6.0 LB,POLLY-O,071040074412,"","",$4.79,PER LB,,,8584
3042228,PROVOLONE,LOAF,1 / 6.0 LB,POLLY-O,071040188461,"","",$4.3,PER LB,,,8584
3042285,MOZZARELLA,LOAF,1 / 6.0 LB,NORTH BEAC,"","","",$3.34,PER LB,,,2380
41132,PEPPERJACK CHEESE,SLICED,8 / 1.5 LB,PACKER,41132,"",B,$43.68,UNIT,3.64,PER LB,2380
42145,SWISS CHEESE,SLICED,8 / 1.5 LB,CAL SELECT,42145,"",A,$49.199999999999996,UNIT,4.1,PER LB,2380
42213,MONTEREY JACK,SLICED,10 / 1.0 LB,CHESWICK,42213,"",B,$34.0,UNIT,3.4,PER LB,2380
42227,CHEDDAR CHEESE,MILD SLICED,8 / 1.5 LB,CAL SELECT,"","",A,$39.599999999999994,UNIT,3.3,PER LB,2380
42277,WHITE AMERICAN SWISS,"",4 / 5.0 LB,SCHREIBER,10030900400188,180597,B,$45.8,UNIT,2.29,PER LB,22221
3041132,PEPPERJACK CHEESE,SLICED,1 / 1.5 LB,PACKER,051934018197,"","",$7.199999999999999,UNIT,4.8,PER LB,2380
3042145,SWISS CHEESE,SLICED,1 / 1.5 LB,CAL SELECT,51934023467,"","",$6.915000000000001,UNIT,4.61,PER LB,2380
3042213,MONTEREY JACK,SLICED,1 / 1.0 LB,CHESWICK,3042213,"","",$4.48,UNIT,4.48,,2380
3042227,CHEDDAR CHEESE,MILD SLICED,1 / 1.5 LB,CAL SELECT,051934029940,"","",$6.584999999999999,UNIT,4.39,PER LB,2380
3042277,WHITE AMERICAN SWISS,"",1 / 5.0 LB,SCHREIBER,71505013673,180597,"",$11.899999999999999,UNIT,2.38,PER LB,22221
